code,district_code,regency_code,province_code,name,latitude,longitude,coordinates
1604272001,160427,1604,16,"Pandan Arang Ilir",,,null
1604282001,160428,1604,16,"Muara Payang",,,null
1605022008,160502,1605,16,"Prabumulih I",,,null
1605032024,160503,1605,16,"Beliti Jaya",,,null
1605112004,160511,1605,16,"Taba Tengah",,,null
1605122018,160512,1605,16,"Jajaran Baru II",,,null
1605132002,160513,1605,16,"Kerto Sari",,,null
1605132008,160513,1605,16,"Rejo Sari",,,null
1605202001,160520,1605,16,Banpres,,,null
1606012004,160601,1606,16,"Muara Teladan",,,null
1606012005,160601,1606,16,"Bandar Jaya",,,null
1606042012,160604,1606,16,"Tanjung Bali",,,null
1606042015,160604,1606,16,"Ulak Kembang",,,null
1606052013,160605,1606,16,"Air Itam",,,null
1606062001,160606,1606,16,Sereka,,,null
1606072014,160607,1606,16,"Bumi Kencana",,,null
1606122012,160612,1606,16,"Pandan Sari",,,null
1607031033,160703,1607,16,"Kedondong Raye",,,null
1607032025,160703,1607,16,Tanjungberingin,,,null
1607042004,160704,1607,16,Mukut,,,null
1607052002,160705,1607,16,"Pulau Rajak",,,null
1607072007,160707,1607,16,"Sumber Makmur",,,null
1607082010,160708,1607,16,"Telang Rejo",,,null
1607082024,160708,1607,16,"Talang Indah",,,null
1607092007,160709,1607,16,Pangestu,,,null
1607102020,160710,1607,16,"Sungairengit Murni",,,null
1607112002,160711,1607,16,Tanjungpasir,,,null
1607152006,160715,1607,16,"Karang Anyar",,,null
1607182007,160718,1607,16,"Muaratelang Marga",,,null
1607212006,160721,1607,16,"Mekar Sari",,,null
1608072014,160807,1608,16,"Harjo Mulyo",,,null
1608072021,160807,1608,16,"Tri Dadi",,,null
1608082027,160808,1608,16,Margodadi,,,null
1608112004,160811,1608,16,"Negeri Ratu",,,null
1608122006,160812,1608,16,Srikaton,,,null
1608122025,160812,1608,16,"Tanjung Mulya",,,null
1608132010,160813,1608,16,"Marta V Jaya",,,null
1608182014,160818,1608,16,"Tebing Sari Mulya",,,null
1609012004,160901,1609,16,"Suka Banjar",,,null
1609012026,160901,1609,16,Datar,,,null
1609022021,160902,1609,16,"Kemu Ulu",,,null
1609032021,160903,1609,16,Sipatuhu,,,null
1609072002,160907,1609,16,"Padang Sari",,,null
1609092019,160909,1609,16,"Tanjung Sari",,,null
1609092021,160909,1609,16,"Air Kelian",,,null
1609122009,160912,1609,16,"Gedung Baru",,,null
1609122014,160912,1609,16,"Way Relai",,,null
1609122018,160912,1609,16,"Simpang Sender Timur",,,null
1609132001,160913,1609,16,Sukajaya,,,null
1609192003,160919,1609,16,"Banjar Agung",,,null
1610022026,161002,1610,16,Burai,,,null
1610032007,161003,1610,16,"Tanjung Temiang",,,null
1610082002,161008,1610,16,"Tanjung Lubuk",,,null
1610102002,161010,1610,16,"Sarang Elang",,,null
1611032012,161103,1611,16,"Batu Bidung",,,null
1611062005,161106,1611,16,"Macang Manis",,,null
1612012014,161201,1612,16,"Benakat Minyak",,,null
1612022011,161202,1612,16,"Tempirai Timur",,,null
1612032012,161203,1612,16,"Purun Timur",,,null
1612052015,161205,1612,16,"Tanah Abang Jaya",,,null
1613032011,161303,1613,16,"Jadi Mulya I",,,null
1671051004,167105,1671,16,"14 Ilir",,,null
1673021002,167302,1673,16,"Lubuk Tanjung",,,null
1673031009,167303,1673,16,"Air Kati",,,null
1674012013,167401,1674,16,"Tanjung Telang",,,null
1601082008,160108,1601,16,"Gunung Liwat",,,null
1601092011,160109,1601,16,"Saung Naga",,,null
1601222004,160122,1601,16,"Banu Ayu",,,null
1601222006,160122,1601,16,"Lubuk Batang Baru",,,null
1601222009,160122,1601,16,"Karta Mulya",,,null
1601222016,160122,1601,16,"Air Wall",,,null
1601282014,160128,1601,16,"Gedung Pekuon",,,null
1601292004,160129,1601,16,"Sri Mulya",,,null
1601302003,160130,1601,16,"Lekis Rejo",,,null
1602022003,160202,1602,16,"Tanjung Baru",,,null
1602042047,160204,1602,16,"Kembang Jajar",,,null
1602052023,160205,1602,16,"Serigeni Baru",,,null
1602112022,160211,1602,16,"Simpang Tiga Abadi",,,null
1602122006,160212,1602,16,"Pulau Layang",,,null
1602132025,160213,1602,16,"Tugu Jaya",,,null
1602142014,160214,1602,16,"Rantau Karya",,,null
1602202009,160220,1602,16,"Karya Usaha",,,null
1602212003,160221,1602,16,"Sumbu Sari",,,null
1602212014,160221,1602,16,"Kemang Indah",,,null
1602232003,160223,1602,16,"Sugih Waras",,,null
1603042003,160304,1603,16,"Gunung Megang Dalam",,,null
1603042004,160304,1603,16,"Lubuk Mumpo",,,null
1603062021,160306,1603,16,Sigam,,,null
1603152001,160315,1603,16,"Baru Rambang",,,null
1603152010,160315,1603,16,"Kencana Mulia",,,null
1603162003,160316,1603,16,Kasai,,,null
1603232001,160323,1603,16,Tanjung,,,null
1603232003,160323,1603,16,"Cinta Kasih",,,null
1603242010,160324,1603,16,"Gaung Asam",,,null
1603262007,160326,1603,16,"Kuripan Selatan",,,null
1604012011,160401,1604,16,"Simpang III Pumu",,,null
1604072004,160407,1604,16,"Gunung Liwat",,,null
1604092016,160409,1604,16,"Tanjung Telang",,,null
1604101052,160410,1604,16,"Kota Jaya",,,null
1604102050,160410,1604,16,Manggul,,,null
1604162005,160416,1604,16,"Pulau Beringin",,,null
1604172012,160417,1604,16,"Datar Serdang",,,null
1604172027,160417,1604,16,"Cempaka Sakti",,,null
1604212004,160421,1604,16,"Muara Tandi",,,null
1604222005,160422,1604,16,"Lesung Batu",,,null
1604232009,160423,1604,16,"Gedung Agung",,,null
1604252005,160425,1604,16,"Tanjung Aur",,,null
1604262007,160426,1604,16,"Lubuk Betung",,,null
1604262008,160426,1604,16,Perangai,,,null
1604292002,160429,1604,16,"Guru Agung",,,null
1604302004,160430,1604,16,"Padang Bindu",,,null
1604302005,160430,1604,16,"Keban Agung",,,null
1605081006,160508,1605,16,"Marga Tunggal",,,null
1605092018,160509,1605,16,"Durian Remuk",,,null
1605101017,160510,1605,16,Terawas,,,null
1605132009,160513,1605,16,"Sadar Karya",,,null
1605142011,160514,1605,16,"Tri Jaya",,,null
1606052007,160605,1606,16,"Ngulak II",,,null
1606102006,160610,1606,16,"Bangun Harja",,,null
1606132002,160613,1606,16,"Ulak Paceh Jaya",,,null
1606152011,160615,1606,16,"Mekar Jaya",,,null
1607052014,160705,1607,16,"Taja Mulya",,,null
1607062014,160706,1607,16,"Pangkalan Gelebak",,,null
1607092017,160709,1607,16,Purwosari,,,null
1607132009,160713,1607,16,"Argo Mulyo",,,null
1607162005,160716,1607,16,Bengkuang,,,null
1607212011,160721,1607,16,"Bumi Rejo",,,null
1608022039,160802,1608,16,"Muda Sentosa",,,null
1608032010,160803,1608,16,Triyoso,,,null
1608032011,160803,1608,16,"Sumber Suko",,,null
1608052008,160805,1608,16,"Pemetung Besuki",,,null
1608082032,160808,1608,16,"Taman Mulyo",,,null
1608092017,160809,1608,16,"Sumber Harapan",,,null
1608102004,160810,1608,16,"Nusa Bali",,,null
1608102013,160810,1608,16,Trikarya,,,null
1608112002,160811,1608,16,"Tulang Bawang",,,null
1608112003,160811,1608,16,Sabahlioh,,,null
1608122010,160812,1608,16,"Karang Tengah",,,null
1608162002,160816,1608,16,"Bunga Mayang",,,null
1609022017,160902,1609,16,"Pagar Agung",,,null
1609032025,160903,1609,16,"Sugih Waras",,,null
1609042011,160904,1609,16,"Gunung Gare",,,null
1609092015,160909,1609,16,"Sinar Napalan",,,null
1609092018,160909,1609,16,"Mekar Jaya",,,null
1609102003,160910,1609,16,"Tebat Gabus",,,null
1609132015,160913,1609,16,"Tanjung Baru",,,null
1609142003,160914,1609,16,"Air Baru",,,null
1609152004,160915,1609,16,"Ujan Mas",,,null
1609182001,160918,1609,16,Peninggiran,,,null
1609192001,160919,1609,16,"Rantau Panjang",,,null
1610011011,161001,1610,16,"Muara Kuang",,,null
